"Name","Region","GENC","Year","Population","Total Fertility Rate","Crude Birth Rate","Life Expectancy at Birth, Both Sexes","Infant Mortality Rate, Both Sexes","Crude Death Rate","Net Migration Rate"
" -> 1950","","","","--","--","--","--","--","--","--"
"World","1950,World","","1950","2,558,023,014","--","--","--","--","--","--"
" -> 1951","","","","--","--","--","--","--","--","--"
"World","1951,World","","1951","2,595,838,116","--","--","--","--","--","--"
" -> 1952","","","","--","--","--","--","--","--","--"
"World","1952,World","","1952","2,637,936,830","--","--","--","--","--","--"
" -> 1953","","","","--","--","--","--","--","--","--"
"World","1953,World","","1953","2,683,288,876","--","--","--","--","--","--"
" -> 1954","","","","--","--","--","--","--","--","--"
"World","1954,World","","1954","2,731,379,529","--","--","--","--","--","--"
" -> 1955","","","","--","--","--","--","--","--","--"
"World","1955,World","","1955","2,782,973,591","--","--","--","--","--","--"
" -> 1956","","","","--","--","--","--","--","--","--"
"World","1956,World","","1956","2,836,130,358","--","--","--","--","--","--"
" -> 1957","","","","--","--","--","--","--","--","--"
"World","1957,World","","1957","2,892,165,757","--","--","--","--","--","--"
" -> 1958","","","","--","--","--","--","--","--","--"
"World","1958,World","","1958","2,948,892,474","--","--","--","--","--","--"
" -> 1959","","","","--","--","--","--","--","--","--"
"World","1959,World","","1959","3,001,437,149","--","--","--","--","--","--"
" -> 1960","","","","--","--","--","--","--","--","--"
"World","1960,World","","1960","3,043,723,411","--","--","--","--","--","--"
" -> 1961","","","","--","--","--","--","--","--","--"
"World","1961,World","","1961","3,084,753,192","--","--","--","--","--","--"
" -> 1962","","","","--","--","--","--","--","--","--"
"World","1962,World","","1962","3,140,982,059","--","--","--","--","--","--"
" -> 1963","","","","--","--","--","--","--","--","--"
"World","1963,World","","1963","3,210,747,452","--","--","--","--","--","--"
" -> 1964","","","","--","--","--","--","--","--","--"
"World","1964,World","","1964","3,282,150,912","--","--","--","--","--","--"
" -> 1965","","","","--","--","--","--","--","--","--"
"World","1965,World","","1965","3,351,447,909","--","--","--","--","--","--"
" -> 1966","","","","--","--","--","--","--","--","--"
"World","1966,World","","1966","3,421,950,085","--","--","--","--","--","--"
" -> 1967","","","","--","--","--","--","--","--","--"
"World","1967,World","","1967","3,491,918,938","--","--","--","--","--","--"
" -> 1968","","","","--","--","--","--","--","--","--"
"World","1968,World","","1968","3,563,999,493","--","--","--","--","--","--"
" -> 1969","","","","--","--","--","--","--","--","--"
"World","1969,World","","1969","3,638,882,226","--","--","--","--","--","--"
" -> 1970","","","","--","--","--","--","--","--","--"
"World","1970,World","","1970","3,714,262,611","--","--","--","--","--","--"
" -> 1971","","","","--","--","--","--","--","--","--"
"World","1971,World","","1971","3,791,705,363","--","--","--","--","--","--"
" -> 1972","","","","--","--","--","--","--","--","--"
"World","1972,World","","1972","3,867,790,515","--","--","--","--","--","--"
" -> 1973","","","","--","--","--","--","--","--","--"
"World","1973,World","","1973","3,943,299,941","--","--","--","--","--","--"
" -> 1974","","","","--","--","--","--","--","--","--"
"World","1974,World","","1974","4,018,289,723","--","--","--","--","--","--"
" -> 1975","","","","--","--","--","--","--","--","--"
"World","1975,World","","1975","4,089,897,507","--","--","--","--","--","--"
" -> 1976","","","","--","--","--","--","--","--","--"
"World","1976,World","","1976","4,160,016,430","--","--","--","--","--","--"
" -> 1977","","","","--","--","--","--","--","--","--"
"World","1977,World","","1977","4,230,925,634","--","--","--","--","--","--"
" -> 1978","","","","--","--","--","--","--","--","--"
"World","1978,World","","1978","4,301,796,324","--","--","--","--","--","--"
" -> 1979","","","","--","--","--","--","--","--","--"
"World","1979,World","","1979","4,375,462,721","--","--","--","--","--","--"
" -> 1980","","","","--","--","--","--","--","--","--"
"World","1980,World","","1980","4,446,018,801","--","--","--","--","--","--"
" -> 1981","","","","--","--","--","--","--","--","--"
"World","1981,World","","1981","4,527,470,698","--","--","--","--","--","--"
" -> 1982","","","","--","--","--","--","--","--","--"
"World","1982,World","","1982","4,610,284,677","--","--","--","--","--","--"
" -> 1983","","","","--","--","--","--","--","--","--"
"World","1983,World","","1983","4,694,209,205","--","--","--","--","--","--"
" -> 1984","","","","--","--","--","--","--","--","--"
"World","1984,World","","1984","4,775,889,225","--","--","--","--","--","--"
" -> 1985","","","","--","--","--","--","--","--","--"
"World","1985,World","","1985","4,860,691,329","--","--","--","--","--","--"
" -> 1986","","","","--","--","--","--","--","--","--"
"World","1986,World","","1986","4,947,831,057","--","--","--","--","--","--"
" -> 1987","","","","--","--","--","--","--","--","--"
"World","1987,World","","1987","5,037,623,680","--","--","--","--","--","--"
" -> 1988","","","","--","--","--","--","--","--","--"
"World","1988,World","","1988","5,128,370,129","--","--","--","--","--","--"
" -> 1989","","","","--","--","--","--","--","--","--"
"World","1989,World","","1989","5,218,863,705","--","--","--","--","--","--"
" -> 1990","","","","--","--","--","--","--","--","--"
"World","1990,World","","1990","5,311,093,985","--","--","--","--","--","--"
" -> 1991","","","","--","--","--","--","--","--","--"
"World","1991,World","","1991","5,398,248,391","--","--","--","--","--","--"
" -> 1992","","","","--","--","--","--","--","--","--"
"World","1992,World","","1992","5,484,859,952","--","--","--","--","--","--"
" -> 1993","","","","--","--","--","--","--","--","--"
"World","1993,World","","1993","5,568,560,590","--","--","--","--","--","--"
" -> 1994","","","","--","--","--","--","--","--","--"
"World","1994,World","","1994","5,650,427,498","--","--","--","--","--","--"
" -> 1995","","","","--","--","--","--","--","--","--"
"World","1995,World","","1995","5,733,476,988","--","--","--","--","--","--"
" -> 1996","","","","--","--","--","--","--","--","--"
