track_id,artists,track_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track_genre
0fMditvyHKtvP0Wda7b3Wt,Wolfgang Amadeus Mozart;Danielle Laval,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 11. Variation X",0.389,0.113,0.0382,0.991,0.842,0.136,0.74,classical
0JAzwrikHrPWVK02ANRkHl,Wolfgang Amadeus Mozart;Giuseppe Greco,"Piano Sonata No. 17 in B-Flat Major, K. 570: II. Adagio",0.445,0.00884,0.078,0.995,0.913,0.0907,0.216,classical
7FM43USRDOLBicvp6Zvnjk,Wolfgang Amadeus Mozart;I Musici;Pina Carmirelli,"Serenade in G, K.525: 1. Allegro",0.449,0.247,0.0405,0.866,0.869,0.216,0.62,classical
4N9wT4gXdCIVIoyYrGQ5ms,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,"Contredanse in E flat, K.607 ""Il Trionfo delle Donne""",0.636,0.203,0.0412,0.964,0.326,0.171,0.717,classical
58ina5MM56CHWVlIbXiAZT,Antonio Vivaldi;Gidon Kremer;Leslie Pearson;London Symphony Orchestra;Claudio Abbado,"Violin Concerto in F Minor, Op. 8, No. 4, RV 297 ""L'inverno"": II. Largo",0.513,0.287,0.0472,0.976,0.00247,0.0991,0.265,classical
6m3hSSDwLUUsXEf6aPtH1m,Edvard Grieg;Una Bourne,"Lyric Pieces VIII, Op. 65: No. 6, Bryllupsdag på Troldhaugen",0.331,0.23,0.0356,0.978,0.88,0.359,0.189,classical
63b3B7GI6GT7S6Pstyjkgo,S. Sowmya,Muddugare Yesoda - Sowmya,0.517,0.327,0.0948,0.99,0.214,0.071,0.694,classical
1nS2gyHrXNqlCM7f1A90Pi,Bombay Jayashri,Thaimai,0.248,0.42,0.0274,0.587,0.00473,0.108,0.218,classical
4dSMhQJdhx8K7yZFz1HqtN,Jean Sibelius;Gustav Djupsjöbacka;Tom Krause,"5 Songs, Op. 38: No. 1, Autumn Evening",0.308,0.0569,0.0706,0.991,0.000105,0.189,0.0394,classical
1AiwpQqjhNyaPKJDzff6b6,Sergei Prokofiev;Miriam K. Smith;Sandra Wright Shen,"Cello Sonata in C Major, Op. 119: I. Andante grave",0.287,0.0391,0.044,0.963,0.873,0.105,0.0614,classical
3vFLZOEIM1SxKWPvCCKqvg,Wolfgang Amadeus Mozart;Danielle Laval,"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 7. Variation VI",0.326,0.218,0.0345,0.992,0.937,0.178,0.444,classical
7sI0y2fliuhRhrDBFAPhpL,K. B. Sundarambal,Ezhumalai Irukka,0.43,0.645,0.0895,0.736,0.000756,0.592,0.771,classical
42ViMZMqf5jw5u6VWch4Dg,Antonio Vivaldi;Avi Avital;Venice Baroque Orchestra,"Mandolin Concerto in C Major, RV 425: III. Allegro",0.374,0.366,0.0617,0.722,0.897,0.12,0.294,classical
5G0EAfi4qeZ3KtpmCgcRq2,London Symphony Orchestra;Sir Malcolm Sargent,"Night on Bald Mountain (From ""Natural Born Killers"")",0.251,0.17,0.0379,0.912,0.843,0.065,0.0682,classical
2fa6Yb3QTKnvF2P0zRi6JT,Andrea Bocelli,Santa Claus llegò a la ciudad,0.347,0.499,0.0344,0.756,0.0,0.183,0.345,classical
2Vwh924vV4voSKHDt6cL3m,Ramakrishnan Murthy,Ne Vupiri Ne Sonthama,0.498,0.319,0.0262,0.672,0.000106,0.0952,0.211,classical
2aIBBFkTSaQDu0gKPCY9El,Wolfgang Amadeus Mozart;Royal Philharmonic Orchestra;Erich Leinsdorf,"Symphony No. 7 in D, K.45: 4. (Allegro)",0.46,0.167,0.0345,0.892,0.939,0.359,0.734,classical
6XjBNMzl25wEBebNMdPMGg,Edvard Grieg;Una Bourne,"Lyric Pieces I, Op. 12 (Excerpts): No. 2, Vals",0.419,0.213,0.0357,0.961,0.899,0.237,0.36,classical
1EkZwXMnHCeUytuhYtIZxD,Wolfgang Amadeus Mozart;Danielle Laval,"7 Variations on ""Willem van Nassau"" in D, K.25: 1. Theme: Allegro",0.532,0.0549,0.0492,0.992,0.926,0.107,0.778,classical
1SZp7sIqzHHh1YMaMu8FL2,Wolfgang Amadeus Mozart;Danielle Laval,"12 Variations on an Allegretto in B Flat, K.500: 11. VariatiIon X",0.372,0.0722,0.0331,0.993,0.898,0.0886,0.324,classical
1z0oJ3x3Fb2BWJKRF8HNhx,Wolfgang Amadeus Mozart;Květa Novotná,"Piano Sonata No. 11 in A Major, K. 331: III. Alla turca",0.496,0.186,0.0418,0.992,0.944,0.11,0.585,classical
75VfoYbX5SOhJpEQKXzUtG,Wolfgang Amadeus Mozart;Alicia de Larrocha,"Piano Sonata No. 11 in A Major, K. 331: 1f. Variation 6",0.443,0.131,0.0391,0.99,0.942,0.127,0.84,classical
20uRKbaqAVJRGyGE6mr6Oi,Johann Sebastian Bach;Daniel Hope;Lorenza Borrani;Lucy Gould;Stewart Eaton;William Conway;Enno Senft;Stefan Maass;Stefan Rath,"Suite No. 3 in D Major, BWV 1068: II. Air",0.169,0.049,0.0385,0.956,0.017,0.15,0.0799,classical
2eB7JqIY4hTTSz31h6bjwR,DragonForce,Through The Fire And Flames,0.153,0.953,0.122,0.00152,0.0062,0.366,0.14,classical
2tghg1SLNm8FZTUljfs49l,Robert Schumann;Pavel Nersessian,"Carnaval, Op. 9: No. 9, Papillons (Live in Japan, 2022)",0.294,0.0623,0.0414,0.995,0.869,0.116,0.649,classical
5nG2hbCPI0urycsRN8M3OR,Bombay Jayashri;Darbuka Siva,Hey Nijame,0.34,0.465,0.0453,0.718,0.0652,0.142,0.0686,classical
2PWYFc8JR7O1KWOoGofltM,Andrea Bocelli;Reba McEntire,Blue Christmas,0.168,0.306,0.0331,0.828,3.92e-06,0.0969,0.131,classical
4mVnckvlEpttFNu6hYkEiG,Wolfgang Amadeus Mozart;Claire-Marie Le Guay,"Piano Sonata No. 4 in E-Flat Major, K. 282: 1a. Adagio - Pt. 1",0.379,0.00987,0.0526,0.994,0.922,0.0966,0.298,classical
6C7nimvwkJvFXZ7oT0ZOf6,Wolfgang Amadeus Mozart;Ingrid Haebler,"Piano Sonata No. 14 in C Minor, K. 457: II. Adagio",0.348,0.0223,0.0388,0.994,0.923,0.118,0.279,classical
2cuPD2epKOW51aapIlMEak,Wolfgang Amadeus Mozart;Danielle Laval,"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 1. Theme : Andante",0.547,0.111,0.0524,0.994,0.848,0.108,0.285,classical
3BCUHSTxd5zUogUsDMpwJ6,Wolfgang Amadeus Mozart;Netherlands Wind Ensemble;Edo de Waart,"Divertimento in E-Flat Major, K. 166/159d: IV. Adagio",0.156,0.0341,0.0378,0.994,0.332,0.131,0.0398,classical
4syUG0hKYsUMSkYv4YSFNU,Arcangelo Corelli;The English Concert;Trevor Pinnock,"Concerto grosso in G Minor, Op. 6, No. 8, ""Fatto per la Notte di Natale"": I. Vivace - Grave",0.149,0.0281,0.0397,0.86,0.549,0.0958,0.042,classical
3F5DccNp39Waj4QjZBUPGO,George Frideric Handel;The English Concert;Trevor Pinnock;The English Concert Choir,"Messiah, HWV 56 / Pt. 2: XLII. ""Hallelujah""",0.434,0.262,0.0286,0.959,0.6,0.141,0.256,classical
11sZuBli3HCStlEetHfo9Q,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,16 Minuets K.176: No. 7 in A,0.344,0.146,0.0335,0.971,0.127,0.118,0.435,classical
2wmQki14Gwt1gZUQdrWI1W,Johannes Brahms;Karin Lechner,"Four Pieces For Piano, Op. 119: II. Intermezzo in E Minor",0.258,0.0478,0.0505,0.993,0.902,0.113,0.0859,classical
0HOrX3f1vhUpn5hknKAM9W,Johann Sebastian Bach;Gundula Janowitz;Christa Ludwig;Fritz Wunderlich;Münchener Bach-Orchester;Karl Richter,"Christmas Oratorio, BWV 248 / Pt. 5 - For the 1st Sunday in the New Year: No. 51 Terzetto: ""Ach, wann wird die Zeit erscheinen?""",0.343,0.243,0.0578,0.943,0.0,0.532,0.417,classical
4umQGLGlgLimUIszMfoX6p,Wolfgang Amadeus Mozart;Ingrid Haebler;Capella Academica Wien;Eduard Melkus,"Piano Concerto No. 3 in D Major, K. 40: II. Andante",0.332,0.0594,0.0335,0.979,0.952,0.155,0.111,classical
0CVqHDuz3FXN45aTLzcpq8,Malladi Brothers,Tillana - Kamas - Adi,0.464,0.663,0.141,0.857,0.000272,0.387,0.782,classical
0HkF2UlAgY3iEqplsw2GrP,Wolfgang Amadeus Mozart;Michael Wessel,"Piano Sonata No. 12 in F Major, K. 332: I. Allegro",0.421,0.0743,0.0423,0.993,0.93,0.0953,0.413,classical
3H0gZVq9XwL4ux3R4bg8Ka,Antonín Dvořák;Randall Goosby;Zhu Wang,"Violin Sonatina in G Major, Op. 100, B. 120: II. Larghetto",0.211,0.07,0.0451,0.987,0.169,0.0965,0.0529,classical
1WFKR1UoO2aHEYnCUWEzdI,Franz Schubert;Mischa Maisky;Pavel Gililov,"Ave Maria, ""Ellens Gesang III"", Op.52 No.6, D.839 (Arr. Johannes Palaschko)",0.0918,0.0325,0.0494,0.995,0.864,0.109,0.0393,classical
77xqVXjAVWLHeyMaXdiZcC,Johann Sebastian Bach;Albrecht Mayer;Beni Araki,"Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0.145,0.135,0.0429,0.978,0.971,0.323,0.0535,classical
6WyvH1TlKV3cShyHrB8rmF,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,"Minuet in E Flat Major, K.122",0.556,0.143,0.0424,0.975,0.852,0.189,0.708,classical
5m7Ca5SkWEL3qPEScXcRw0,Maurice Ravel;Junichi Hirokami;Yukie Nagai;Malmö Symphony Orchestra,"Gaspard de la nuit, M. 55: I. Ondine, Lent",0.192,0.0227,0.0397,0.989,0.9,0.0778,0.0354,classical
3lIefB8ZiKOmxk7fRlPZtI,Philadelphia Orchestra;Eugene Ormandy,"The Nutcracker, Op. 71, Act II, Scene 3: No. 12 Divertissement, Trepak (Russian Dance)",0.401,0.397,0.0385,0.989,0.775,0.227,0.903,classical
7AXYGFiJn1DJI17AEhZ8LR,Wolfgang Amadeus Mozart;I Musici;Pina Carmirelli,"Serenade in G, K.525: 1. Allegro",0.449,0.247,0.0405,0.866,0.869,0.216,0.62,classical
2HyJhQXLIyysNuz89x3Nr4,Wolfgang Amadeus Mozart;Danielle Laval,"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265: 9. Variation VIII",0.435,0.094,0.0451,0.995,0.915,0.181,0.818,classical
5wRTq7QEn6I3pDm8sWYOnX,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,"6 Variations in G minor for Piano & Violin on ""Hélas, j'ai perdu mon amant"" K.360: Var. II",0.336,0.0891,0.0493,0.987,0.698,0.124,0.373,classical
6nSnDI2EvwXocgjj6hwQRv,Camille Saint-Saëns;石丸由佳,死の舞踏,0.213,0.159,0.0366,0.715,0.914,0.101,0.0373,classical
33QBQITif9997JUmuEi3KR,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,"Symphony No. 25 in G minor, K.183: 1. Allegro con brio",0.374,0.128,0.0338,0.983,0.935,0.0823,0.299,classical
6yb0QZdAhqirrsrsN35WTz,Wolfgang Amadeus Mozart;Erik Smith,"Modulierendes Präludium, K.deest",0.278,0.145,0.0394,0.807,0.004,0.271,0.61,classical
3xr8COed4nPPn6XWZ0iCGr,Yiruma,River Flows in You,0.287,0.292,0.0541,0.968,0.978,0.09,0.346,classical
4hFloLLbiSgP8VdvVWZWse,Wolfgang Amadeus Mozart;Danielle Laval,"8 Variations on ‘Dieu d'amour’ from ‘Les mariages samnites’ by Grétry in F, K.352: 5. Variation IV",0.369,0.179,0.0505,0.993,0.948,0.0622,0.326,classical
0A5Dar0JoHJSWQ1I4yuxAN,Wolfgang Amadeus Mozart;Danielle Laval,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 6. Variation V",0.379,0.135,0.035,0.993,0.858,0.112,0.811,classical
3bUyN0xEMGn3exIzYkwH00,Henry Purcell;Eugénie Lefebvre;Ensemble Leviathan;Lucile Tessier,"The Fairy Queen, Z. 629: See, even Night herself is here",0.0942,0.0347,0.0475,0.987,0.0308,0.104,0.0724,classical
0ZaTXADJkB2NqupSfqoKCF,Franz Schubert;Burak Çebi,Piano Sonata D. 960 in B-Flat Major: IV. Allegro ma non troppo,0.382,0.0982,0.0501,0.991,0.884,0.0955,0.156,classical
2nrh7jcbgwoAC6caTkn47h,Orchestre Symphonique de Montréal;Andrew Wan;Kent Nagano,"Danse Macabre, Op. 40, R.171",0.371,0.131,0.0422,0.898,0.925,0.0847,0.0656,classical
5Bf429E3Gk33xOsLtLP9ky,Sirkazhi Govindarajan,Kaakkum Kadavul Revival,0.517,0.615,0.0581,0.842,0.0036,0.221,0.756,classical
0vaPEm3RwpcmuotshfFN4t,Wolfgang Amadeus Mozart;Danielle Laval,"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265/300e: 12b. Variation XI - Pt. 2",0.385,0.0554,0.0553,0.987,0.889,0.117,0.321,classical
1FTsR7lFOetRF4WQf1IcK9,George Frideric Handel;The English Concert;Trevor Pinnock;The English Concert Choir,"Messiah, HWV 56 / Pt. 2: XLII. ""Hallelujah""",0.434,0.262,0.0286,0.959,0.6,0.141,0.256,classical
7d20zqaMNkVeG0xSiO3bAE,Vasantrao Deshpande,Pratham Tula Vandito,0.284,0.426,0.0385,0.984,0.000659,0.216,0.665,classical
6kD6phIifemWdUZmmsFP6Q,M. S. Subbulakshmi;T. K. Murthy;V.V.Subramaniam,Sri Venkatesa Suprabhatam,0.657,0.301,0.766,0.949,0.0,0.28,0.794,classical
3r6kY1RSobW4X46YTdQ3sz,Ludwig van Beethoven;Krystian Zimerman;London Symphony Orchestra;Sir Simon Rattle,"Piano Concerto No. 4 in G Major, Op. 58: III. Rondo. Vivace",0.325,0.156,0.0354,0.956,0.881,0.0881,0.107,classical
5zKz6GIN31V2Izi9LUKaWP,Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich,"The Nutcracker (Suite), Op. 71a, TH. 35: IIf. Dance of the Reed-Pipes (Mirlitons)",0.45,0.0485,0.038,0.972,0.911,0.172,0.316,classical
0itstxPuRpGj6H7KX5Y9P4,Franz Schubert;Kanako Yanagida;Kentaro Ifuku,"Violin Sonata in D Major, Op. 137 No. 1, D. 384: I. Allegro molto",0.414,0.165,0.0405,0.989,0.0464,0.227,0.417,classical
6JRDBOkOxiOD32PBrFhf0O,Rashid Khan;Altamash Faridi;Antra Mitra,Tu Mera,0.428,0.58,0.0356,0.343,3.3e-05,0.12,0.478,classical
1kl9shHWQQdpPFV3w8e7ZQ,Robert Schumann;Pavel Nersessian,"Carnaval, Op. 9: No. 5, Eusebius (Live in Japan, 2022)",0.369,0.0283,0.0369,0.995,0.869,0.144,0.0644,classical
1O9UUjQezyMMwe8RyHyavL,Jean Sibelius;Hannu Norjanen;Friends of Sibelius;Tapiola Chamber Choir,"Songs for American Schools, JS 199: No. 1, Autumn Song",0.347,0.0312,0.0532,0.992,0.00101,0.0767,0.0877,classical
2wBVQEElJpTgXi0Op2yt1P,Wolfgang Amadeus Mozart;Claire-Marie Le Guay,"Piano Sonata No.14 in C Minor, K. 457: 2g. Adagio - Pt. 7",0.372,0.0183,0.0512,0.994,0.924,0.196,0.369,classical
2ZwjgC6JSTllAAY2lJFXQg,Wolfgang Amadeus Mozart;Hagen Quartett,"String Quartet No. 9 in A, K.169: 4. Rondeaux (Allegro)",0.448,0.113,0.0501,0.979,0.878,0.1,0.792,classical
5YrGHFnhNZou6fvM7VBQKi,Wolfgang Amadeus Mozart;Erik Smith,"Minuet in F, K.2",0.533,0.0986,0.0727,0.938,0.15,0.0848,0.671,classical
